property_id,price,property_subtype,province,locality_name,postal_code,latitude,longitude,living_area,surface_of_good,number_of_facades,kitchen_type,furnished,open_fire,terrace,terrace_area,garden,garden_area,swimming_pool,state_of_building
73609000,235000.0,APARTMENT,Walloon Brabant,Nivelles,1360,50.6210221,4.8363736,75.0,,,INSTALLED,0,0,0,0.0,0,0.0,0,AS_NEW
64388000,150000.0,APARTMENT,Walloon Brabant,Nivelles,1300,50.7138056,4.6061522,83.0,,,MISSING,0,0,1,9.0,0,0.0,0,MISSING
37181000,682000.0,APARTMENT,Flemish Brabant,Leuven,3000,50.8783586,4.7117478,126.0,,2.0,INSTALLED,0,0,1,18.0,0,0.0,0,AS_NEW
70031000,235000.0,FLAT_STUDIO,Flemish Brabant,Leuven,3000,50.8793222,4.7073565,19.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
72150000,220000.0,APARTMENT,Brussels,Brussels,1200,50.8480716,4.4239712,50.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,GOOD
48994000,575000.0,DUPLEX,Antwerp,Antwerp,2000,51.2062901,4.3904486,170.0,,2.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,GOOD
14384000,350595.0,APARTMENT,Liège,Liège,4130,50.5305179,5.5739073,103.0,,,NOT_INSTALLED,0,0,1,16.0,0,0.0,0,MISSING
19264000,245000.0,APARTMENT,West Flanders,Oostend,8430,51.1893704,2.8189395,69.0,,2.0,INSTALLED,0,0,1,4.0,0,0.0,0,GOOD
22382000,299000.0,FLAT_STUDIO,Brussels,Brussels,1180,,,38.0,,,USA_HYPER_EQUIPPED,0,0,1,9.0,0,0.0,0,MISSING
59420000,335000.0,APARTMENT,Liège,Liège,4000,50.6203009,5.5771992,155.0,,2.0,INSTALLED,0,0,1,3.0,0,0.0,0,TO_BE_DONE_UP
17010000,193000.0,APARTMENT,Antwerp,Turnhout,2440,51.1618234,4.9968007,100.0,,,HYPER_EQUIPPED,0,0,1,5.0,0,0.0,0,JUST_RENOVATED
20225000,230000.0,APARTMENT,West Flanders,Oostend,8400,51.2321951,2.9128539,60.0,,,MISSING,0,0,0,0.0,0,0.0,0,GOOD
25685000,329000.0,APARTMENT,Brussels,Brussels,1030,50.8653804,4.3893346,120.0,,2.0,HYPER_EQUIPPED,0,0,1,7.0,0,0.0,0,TO_BE_DONE_UP
36017000,414500.0,APARTMENT,East Flanders,Aalst,9300,50.9337015,4.0555198,133.0,,2.0,MISSING,0,0,0,0.0,0,0.0,0,MISSING
55918000,329900.0,DUPLEX,Luxembourg,Arlon,6700,49.6896613,5.8120704,167.0,,,INSTALLED,0,0,1,4.0,0,0.0,0,MISSING
4964000,115000.0,APARTMENT,Hainaut,Tournai,7500,,,82.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,MISSING
72327000,271000.0,APARTMENT,Flemish Brabant,Leuven,3440,50.8335291,5.1026475,81.0,,2.0,USA_HYPER_EQUIPPED,0,0,1,9.0,1,20.0,0,AS_NEW
74708000,299400.0,APARTMENT,Limburg,Hasselt,3800,50.7878325,5.1620926,98.0,,,MISSING,0,0,1,20.0,1,59.0,0,GOOD
10696000,179000.0,APARTMENT,West Flanders,Oostend,8420,51.3012646,3.0790823,442.0,,2.0,USA_INSTALLED,0,0,1,35.0,0,0.0,0,GOOD
18291000,325000.0,APARTMENT,Brussels,Brussels,1190,50.8188336,4.3367565,105.0,,1.0,SEMI_EQUIPPED,0,0,1,3.0,0,0.0,0,AS_NEW
51136000,352000.0,APARTMENT,Walloon Brabant,Nivelles,1300,50.7237045,4.6092538,112.0,,,INSTALLED,0,0,1,13.0,1,80.0,0,AS_NEW
16361000,462200.0,APARTMENT,Liège,Liège,4020,50.6370608,5.5862909,126.0,,,MISSING,0,0,1,27.0,0,0.0,0,MISSING
50752000,269000.0,APARTMENT,Antwerp,Antwerp,2100,51.2275173,4.4658162,85.0,,,MISSING,0,0,0,0.0,1,25.0,0,MISSING
40817000,219000.0,APARTMENT,Brussels,Brussels,1070,,,75.0,,,SEMI_EQUIPPED,0,0,1,36.0,0,0.0,0,GOOD
49414000,295000.0,GROUND_FLOOR,East Flanders,Gent,9940,51.1327884,3.6790739,80.0,,2.0,HYPER_EQUIPPED,0,0,1,15.0,0,0.0,0,AS_NEW
44407000,330000.0,APARTMENT,West Flanders,Oostend,8400,51.2218166,2.8938966,79.0,,,HYPER_EQUIPPED,0,0,1,,0,0.0,0,MISSING
19072000,310000.0,APARTMENT,Liège,Liège,4031,50.5955297,5.5699935,96.0,,,INSTALLED,0,0,1,9.0,0,0.0,0,MISSING
21144000,253000.0,APARTMENT,West Flanders,Oostend,8450,51.2456277,2.9629975,,,,INSTALLED,0,0,1,8.0,0,0.0,0,GOOD
34064000,185000.0,APARTMENT,Liège,Huy,4500,50.5222226,5.2444898,81.0,,2.0,INSTALLED,0,0,1,7.0,0,0.0,0,AS_NEW
59527000,255000.0,APARTMENT,Antwerp,Turnhout,2300,51.3235119,4.9467392,93.0,,,MISSING,0,0,0,0.0,0,0.0,0,AS_NEW
17775000,385875.0,APARTMENT,Antwerp,Antwerp,2640,51.1660683,4.4536452,98.0,,,NOT_INSTALLED,0,1,1,16.0,0,0.0,0,MISSING
3860000,197455.0,APARTMENT,Hainaut,Mons,7333,50.4669516,3.805533,84.0,,,NOT_INSTALLED,0,0,1,4.0,0,0.0,0,AS_NEW
7493000,224000.0,APARTMENT,East Flanders,Aalst,9470,50.8961542,4.0693753,78.0,,4.0,INSTALLED,0,0,1,6.0,0,0.0,0,GOOD
35630000,422000.0,APARTMENT,Brussels,Brussels,1000,50.8660958,4.3447036,98.0,,4.0,HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,AS_NEW
18040000,283296.0,APARTMENT,West Flanders,Kortrijk,8540,50.8512406,3.3486702,95.0,,,MISSING,0,0,1,24.0,0,0.0,0,MISSING
73982000,283500.0,APARTMENT,Liège,Liège,4620,,,102.0,,4.0,MISSING,0,0,1,8.0,0,0.0,0,AS_NEW
51398000,219000.0,APARTMENT,Brussels,Brussels,1081,,,85.0,,2.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,JUST_RENOVATED
21166000,295000.0,APARTMENT,East Flanders,Sint-Niklaas,9170,51.2237393,4.1323632,78.0,,,NOT_INSTALLED,0,1,1,8.0,1,,0,MISSING
66318000,299500.0,APARTMENT,Hainaut,Charleroi,6032,,,192.0,,2.0,NOT_INSTALLED,0,0,1,30.0,1,109.0,0,AS_NEW
59298000,920000.0,APARTMENT,Brussels,Brussels,1180,,,250.0,,4.0,HYPER_EQUIPPED,0,0,1,6.0,0,0.0,1,AS_NEW
14064000,610000.0,APARTMENT,Antwerp,Antwerp,2000,,,136.0,,3.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,AS_NEW
